Player,Team,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Achille Polonara,Virtus Segafredo Bologna,F,21,264,25,57,439,13,29,448,12,28,429,553,3,5,600,18,38,56,25,10,10,11,27,66
Adam Hanga,Crvena zvezda Meridianbet,G,26,523,75,188,399,33,99,333,42,89,472,487,24,45,533,14,62,76,62,25,8,34,51,207
Alberto Abalde,Real Madrid,G,24,308,30,68,441,19,46,413,11,22,500,581,7,8,875,6,39,45,16,10,1,5,25,86
Alec Peters,Olympiacos,F,40,1017,188,333,565,76,142,535,112,191,586,679,72,82,878,49,145,194,62,19,4,53,90,524
Aleksa Avramović,Partizan Mozzart Bet,G,24,447,94,189,497,26,88,295,68,101,673,566,31,40,775,8,34,42,44,18,4,32,43,245
Alen Smailagic,Partizan Mozzart Bet,C,31,492,64,107,598,12,26,462,52,81,642,654,32,44,727,32,36,68,18,18,12,21,69,172
Alessandro Pajola,Virtus Segafredo Bologna,G,34,580,41,106,387,25,71,352,16,35,457,505,24,33,727,15,47,62,103,26,4,37,91,131
Álex Abrines,Barcelona,F,27,468,63,128,492,43,96,448,20,32,625,660,18,21,857,16,38,54,13,13,8,18,57,187
Alex Poythress,EA7 Emporio Armani Milano,C,30,386,67,112,598,1,5,200,66,107,617,603,23,29,793,35,45,80,4,10,11,28,74,158
Alexandros Samodurov,Panathinaikos,F,1,1,1,2,500,1,1,1.000,0,1,0,750,0,0,,0,0,0,1,0,0,0,0,3
Alpha Diallo,AS Monaco,F,38,1024,146,301,485,37,95,389,109,206,529,547,75,100,750,46,115,161,65,43,14,46,101,404
Amine Noua,Fenerbahçe Beko,F,12,177,20,37,541,6,16,375,14,21,667,622,4,5,800,14,20,34,6,2,9,2,25,50
Andreas Obst,Bayern München,F,22,411,54,131,412,47,115,409,7,16,438,592,11,14,786,5,28,33,15,4,0,10,25,166
Ante Zizic,Anadolu Efes,C,12,189,29,42,690,0,0,,29,42,690,690,11,17,647,12,21,33,8,7,2,8,13,69
Ante Zizic,Virtus Segafredo Bologna,C,18,239,33,54,611,0,0,,33,54,611,611,9,18,500,20,28,48,10,2,10,13,26,75
Antonius Cleveland,Maccabi Playtika Tel Aviv,G,39,552,76,167,455,16,59,271,60,108,556,503,43,61,705,38,30,68,28,37,19,19,98,211
Arnas Butkevicius,Žalgiris,F,22,460,38,75,507,14,36,389,24,39,615,600,19,27,704,17,56,73,20,13,2,21,55,109
Austin Hollins,Žalgiris,F,8,97,10,26,385,7,20,350,3,6,500,519,4,5,800,1,7,8,1,3,0,9,16,31
Awudu Abass,Virtus Segafredo Bologna,F,31,399,50,122,410,25,79,316,25,43,581,512,11,13,846,18,34,52,13,12,3,6,33,136
Balša Koprivica,Partizan Mozzart Bet,C,14,116,20,24,833,0,0,,20,24,833,833,6,6,1.000,9,15,24,4,3,8,9,25,46
Billy Baron,EA7 Emporio Armani Milano,G,3,47,3,11,273,0,5,0,3,6,500,273,1,1,1.000,0,7,7,9,4,0,6,5,7
Yakuba Ouattara,AS Monaco,F,26,310,41,80,513,23,48,479,18,32,563,656,5,7,714,15,23,38,3,4,1,6,27,110
Bonzie Colson,Maccabi Playtika Tel Aviv,F,40,1138,184,376,489,55,142,387,129,234,551,563,81,102,794,58,154,212,22,50,15,25,87,504
Boris Dallo,LDLC ASVEL,G,3,13,0,3,0,0,2,0,0,1,0,0,0,0,,1,0,1,2,0,0,4,4,0
Boubacar Toure,Valencia Basket,F,21,288,35,62,565,0,0,,35,62,565,565,13,24,542,32,55,87,4,7,12,19,40,83
Brady Manek,Žalgiris,F,28,528,74,174,425,48,118,407,26,56,464,563,15,19,789,14,82,96,17,16,2,24,45,211
Brandon Davies,Valencia Basket,C,28,626,129,261,494,15,49,306,114,212,538,523,65,81,802,33,75,108,56,23,17,55,76,338
Branko Lazic,Crvena zvezda Meridianbet,F,22,303,19,59,322,11,38,289,8,21,381,415,11,12,917,14,18,32,8,8,1,7,57,60
Bruno Caboclo,Partizan Mozzart Bet,C,27,523,93,146,637,23,46,500,70,100,700,716,45,62,726,38,71,109,5,16,18,34,73,254
Bruno Mascolo,Virtus Segafredo Bologna,F,2,10,1,4,250,0,0,,1,4,250,250,0,0,,1,0,1,0,0,0,0,2,2
Bryant Dunston,Virtus Segafredo Bologna,C,36,695,70,114,614,2,6,333,68,108,630,623,20,42,476,55,76,131,34,27,25,22,92,162
Burak Can Yildizli,Anadolu Efes,F,1,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Carlos Alocen,Real Madrid,G,12,106,7,32,219,1,11,91,6,21,286,234,3,5,600,1,15,16,17,2,1,8,12,18
Carsen Edwards,Bayern München,G,34,776,138,356,388,61,187,326,77,169,456,473,53,58,914,13,45,58,62,30,2,58,58,390
Charles Kahudi,LDLC ASVEL,F,29,502,43,118,364,10,41,244,33,77,429,407,17,22,773,19,64,83,24,4,0,13,45,113
Chima Moneke,Baskonia,F,34,841,154,290,531,30,85,353,124,205,605,583,123,161,764,70,153,223,46,39,18,67,56,461
Chris Chiozza,Baskonia,G,26,268,18,60,300,7,34,206,11,26,423,358,7,10,700,2,23,25,63,12,3,24,28,50
Chris Jones,Valencia Basket,G,33,851,156,332,470,51,112,455,105,220,477,547,55,68,809,6,64,70,139,41,1,57,46,418
Christ Koumadje,ALBA Berlin,C,28,465,64,102,627,0,0,,64,102,627,627,30,44,682,59,92,151,7,11,24,25,58,158
Codi Miller-McIntyre,Baskonia,G,39,1151,143,306,467,27,93,290,116,213,545,511,60,86,698,23,147,170,284,37,3,100,84,373
Dalibor Ilic,Crvena zvezda Meridianbet,G,15,132,13,22,591,3,7,429,10,15,667,659,1,4,250,9,17,26,6,3,1,3,18,30
Dame Sarr,Barcelona,G,2,3,0,3,0,0,2,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
Damien Inglis,Valencia Basket,F,32,657,105,206,510,7,25,280,98,181,541,527,44,62,710,40,109,149,55,22,5,45,79,261
Daniel Diez,Baskonia,G,30,361,26,59,441,18,48,375,8,11,727,593,3,4,750,13,49,62,16,7,0,6,26,73
Daniel Hackett,Virtus Segafredo Bologna,G,32,771,85,193,440,35,89,393,50,104,481,531,53,66,803,17,87,104,114,29,2,51,86,258
Daniel Oturu,Anadolu Efes,C,22,340,67,98,684,0,0,,67,98,684,684,24,41,585,37,48,85,12,7,20,18,53,158
Danielius Lavrinovicius,Žalgiris,F,19,120,9,22,409,4,14,286,5,8,625,500,4,6,667,11,19,30,3,2,1,5,17,26
Danilo Andusic,Partizan Mozzart Bet,G,28,367,42,100,420,20,50,400,22,50,440,520,36,38,947,6,27,33,18,7,3,16,32,140
Danko Brankovic,Bayern München,F,25,249,45,72,625,4,9,444,41,63,651,653,12,14,857,23,39,62,11,10,10,13,46,106
Darío Brizuela,Barcelona,G,32,441,75,178,421,24,75,320,51,103,495,489,8,11,727,9,22,31,51,9,2,26,50,182
Darius Thompson,Anadolu Efes,G,35,910,140,316,443,39,119,328,101,197,513,505,62,74,838,21,49,70,98,35,19,55,86,381
David Lighty,LDLC ASVEL,G,29,479,35,93,376,15,43,349,20,50,400,457,11,15,733,8,34,42,29,18,1,15,54,96
Dejan Davidovac,Crvena zvezda Meridianbet,F,31,598,57,123,463,26,68,382,31,55,564,569,17,23,739,17,77,94,19,21,10,13,46,157
Derek Willis,Anadolu Efes,F,26,600,67,141,475,40,90,444,27,51,529,617,17,18,944,24,73,97,21,15,7,13,36,191
Deshaun Thomas,LDLC ASVEL,F,10,233,34,71,479,5,23,217,29,48,604,514,12,16,750,11,27,38,15,2,1,8,11,85
Devin Booker,Bayern München,C,28,742,109,225,484,16,53,302,93,172,541,520,38,48,792,40,113,153,34,12,4,53,50,272
Devon Hall,EA7 Emporio Armani Milano,G,32,771,97,214,453,37,96,385,60,118,508,540,31,37,838,19,73,92,62,31,3,33,54,262
Devontae Cacok,Virtus Segafredo Bologna,G,15,136,20,28,714,0,0,,20,28,714,714,8,12,667,9,25,34,7,5,2,11,26,48
Diego Flaccadori,EA7 Emporio Armani Milano,G,26,362,42,112,375,12,42,286,30,70,429,429,24,27,889,1,25,26,28,17,0,20,49,120
Dimitris Moraitis,Panathinaikos,G,7,17,4,8,500,3,4,750,1,4,250,688,0,0,,0,2,2,5,2,0,2,1,11
Dino Radončić,Bayern München,G,16,144,6,14,429,1,3,333,5,11,455,464,7,11,636,13,21,34,7,4,1,9,20,20
Donatas Motiejūnas,AS Monaco,C,39,692,132,240,550,23,61,377,109,179,609,598,56,77,727,36,97,133,37,17,9,44,74,343
Donta Hall,AS Monaco,C,38,517,74,100,740,0,1,0,74,99,747,740,37,61,607,53,80,133,16,20,17,13,61,185
Dovydas Butka,Žalgiris,F,3,11,0,2,0,0,2,0,0,0,,0,0,0,,1,2,3,0,0,0,0,0,0
Dovydas Giedraitis,Žalgiris,G,30,497,49,123,398,23,54,426,26,69,377,492,24,26,923,9,22,31,31,32,0,23,52,145
Dyshawn Pierre,Fenerbahçe Beko,F,27,534,56,127,441,16,53,302,40,74,541,504,22,24,917,37,68,105,27,16,3,10,32,150
Dzanan Musa,Real Madrid,F,38,799,170,325,523,59,143,413,111,182,610,614,113,138,819,25,79,104,84,10,9,44,45,512
Edgaras Ulanovas,Žalgiris,F,34,952,91,203,448,19,67,284,72,136,529,495,58,67,866,44,95,139,96,20,3,39,80,259
Edmond Sumner,Žalgiris,F,23,309,53,121,438,22,56,393,31,65,477,529,30,37,811,3,23,26,41,19,2,46,50,158
Edwin Jackson,LDLC ASVEL,G,31,478,60,116,517,17,48,354,43,68,632,591,27,33,818,8,27,35,31,13,1,30,49,164
Eleftherios Mantzoukas,Panathinaikos,F,14,102,9,16,563,8,12,667,1,4,250,813,1,3,333,4,10,14,1,1,0,2,11,27
Eli Ndiaye,Real Madrid,C,23,257,25,55,455,8,25,320,17,30,567,527,8,12,667,21,32,53,11,10,5,10,38,66
Elias Harris,Bayern München,C,14,142,27,49,551,2,2,1.000,25,47,532,571,12,16,750,19,18,37,5,4,0,9,21,68
Elias Jose Rapieque,ALBA Berlin,F,6,26,4,8,500,3,5,600,1,3,333,688,3,3,1.000,3,0,3,3,0,0,4,2,14
Élie Okobo,AS Monaco,G,37,919,135,327,413,41,136,301,94,191,492,476,96,116,828,10,85,95,116,25,1,66,77,407
Elijah Bryant,Anadolu Efes,G,24,520,83,180,461,26,68,382,57,112,509,533,41,47,872,21,72,93,64,17,7,37,53,233
Emre Tunca,Anadolu Efes,G,3,5,0,3,0,0,1,0,0,2,0,0,0,0,,0,0,0,0,3,0,1,1,0
Ercan Osmani,Anadolu Efes,F,23,308,39,89,438,13,38,342,26,51,510,511,10,10,1.000,17,43,60,14,14,2,12,39,101
Erkan Yilmaz,Anadolu Efes,F,14,124,8,23,348,4,14,286,4,9,444,435,0,4,0,7,18,25,14,9,4,6,24,20
Erten Gazi,Anadolu Efes,F,10,87,3,23,130,1,17,59,2,6,333,152,2,4,500,2,3,5,4,1,0,5,9,9
Fabien Causeur,Real Madrid,G,32,487,61,132,462,26,66,394,35,66,530,561,16,18,889,12,29,41,35,13,7,24,45,164
Facu Campazzo,Real Madrid,G,37,936,137,303,452,48,149,322,89,154,578,531,103,119,866,22,85,107,240,47,1,89,88,425
Ferrando Guillem,Valencia Basket,G,6,49,2,10,200,2,10,200,0,0,,300,5,5,1.000,1,4,5,6,0,0,2,7,11
Filip Petrušev,Olympiacos,C,22,343,49,103,476,4,14,286,45,89,506,495,36,46,783,9,64,73,13,7,11,15,32,138
Frank Jackson,LDLC ASVEL,G,6,121,23,45,511,8,25,320,15,20,750,600,8,11,727,1,10,11,8,3,0,7,16,62
Frank Kaminsky,Partizan Mozzart Bet,C,30,516,103,186,554,26,64,406,77,122,631,624,35,53,660,33,69,102,48,12,7,21,74,267
Freddie Gillespie,Bayern München,F,13,120,13,26,500,0,0,,13,26,500,500,3,4,750,12,19,31,3,3,4,7,27,29
Freddie Gillespie,Crvena zvezda Meridianbet,F,15,122,16,27,593,0,0,,16,27,593,593,6,13,462,13,16,29,7,5,7,5,34,38
Frederick Gillespie,Crvena zvezda Meridianbet,F,2,22,7,10,700,0,0,,7,10,700,700,0,2,0,5,3,8,1,1,0,0,4,14
Gabriel Alejandro Deck,Real Madrid,F,28,594,99,170,582,19,53,358,80,117,684,638,36,41,878,19,72,91,30,16,0,26,53,253
Gabriel Lundberg,Virtus Segafredo Bologna,G,35,675,122,273,447,43,128,336,79,145,545,526,43,59,729,13,60,73,70,21,1,44,50,330
Gabriele Procida,ALBA Berlin,F,25,436,73,172,424,27,93,290,46,79,582,503,34,45,756,13,28,41,23,36,9,25,20,207
Georgios Papagiannis,Fenerbahçe Beko,C,38,606,92,149,617,20,41,488,72,108,667,685,12,18,667,39,77,116,31,12,31,27,66,216
George Papas,Olympiacos,G,2,6,1,3,333,0,2,0,1,1,1.000,333,0,0,,0,0,0,0,0,0,0,0,2
Giampaolo Ricci,EA7 Emporio Armani Milano,G,22,153,7,31,226,4,23,174,3,8,375,290,0,0,,11,13,24,2,6,2,1,30,18
Giannoulis Larentzakis,Olympiacos,G,37,485,57,167,341,34,106,321,23,61,377,443,42,52,808,7,30,37,54,21,2,36,64,190
Giordano Bortolani,EA7 Emporio Armani Milano,G,18,136,25,59,424,17,38,447,8,21,381,568,12,13,923,2,11,13,6,4,1,5,11,79
Guerschon Yabusele,Real Madrid,F,27,637,95,168,565,35,76,461,60,92,652,670,59,68,868,28,103,131,26,22,5,24,39,284
Guglielmo Caruso,EA7 Emporio Armani Milano,G,5,11,1,2,500,1,1,1.000,0,1,0,750,2,2,1.000,0,1,1,0,1,0,0,2,5
Willy Hernangómez,Barcelona,C,38,617,157,277,567,4,11,364,153,266,575,574,100,141,709,67,117,184,15,16,17,59,69,418
Hugo Gonzalez Pena,Real Madrid,G,6,26,1,5,200,0,4,0,1,1,1.000,200,2,2,1.000,0,1,1,1,0,0,2,6,4
Ignas Brazdeikis,Olympiacos,G,27,293,35,104,337,7,31,226,28,73,384,370,20,27,741,14,32,46,16,5,3,9,35,97
Ioannis Papapetrou,Panathinaikos,F,16,273,31,63,492,16,31,516,15,32,469,619,12,15,800,7,25,32,11,4,3,6,23,90
Isaac Bonga,Bayern München,F,31,618,65,148,439,20,67,299,45,81,556,507,31,39,795,39,90,129,37,23,10,40,77,181
Isaïa Cordinier,Virtus Segafredo Bologna,G,31,691,102,211,483,24,71,338,78,140,557,540,39,50,780,27,90,117,80,27,15,47,83,267
Isaiah Canaan,Olympiacos,G,41,945,147,318,462,94,221,425,53,97,546,610,67,76,882,9,41,50,58,35,3,47,93,455
Ismael Kamagate,EA7 Emporio Armani Milano,G,9,24,5,9,556,0,0,,5,9,556,556,0,2,0,0,2,2,1,0,0,2,4,10
Ismaila Diagne,Real Madrid,F,2,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,3,0
Ivan Kharchenkov,Bayern München,C,4,35,3,13,231,1,8,125,2,5,400,269,1,2,500,2,2,4,3,1,0,1,5,8
Jabari Parker,Barcelona,F,38,912,148,324,457,51,134,381,97,190,511,535,56,73,767,37,122,159,28,22,15,44,75,403
Jaime Pradilla,Valencia Basket,G,31,422,44,77,571,3,10,300,41,67,612,591,14,24,583,40,61,101,23,16,1,22,53,105
Jake Cohen,Maccabi Playtika Tel Aviv,F,36,372,43,92,467,17,45,378,26,47,553,560,4,4,1.000,12,32,44,34,8,1,12,69,107
Jaleen Smith,Partizan Mozzart Bet,F,7,126,17,36,472,7,18,389,10,18,556,569,6,6,1.000,3,9,12,9,6,1,5,12,47
Jaleen Smith,Virtus Segafredo Bologna,F,13,148,24,50,480,14,29,483,10,21,476,620,7,8,875,8,11,19,11,7,1,9,15,69
James Nnaji,Barcelona,G,19,108,18,25,720,0,0,,18,25,720,720,13,31,419,11,16,27,3,3,5,5,17,49
James Nunnally,Partizan Mozzart Bet,F,32,888,141,269,524,45,104,433,96,165,582,608,67,77,870,25,76,101,81,19,3,50,56,394
James Webb III,Maccabi Playtika Tel Aviv,G,39,613,83,198,419,38,115,330,45,83,542,515,38,49,776,34,91,125,19,20,10,17,81,242
Jan Niklas Wimberg,Bayern München,G,12,94,5,12,417,2,6,333,3,6,500,500,3,4,750,6,10,16,5,1,4,4,13,15
Jan Vesely,Barcelona,C,38,831,186,305,610,2,7,286,184,298,617,613,95,119,798,71,93,164,49,38,18,43,94,469
Jared Harper,Valencia Basket,F,22,362,54,147,367,20,79,253,34,68,500,435,58,68,853,2,16,18,49,13,0,29,44,186
Jaron Blossomgame,AS Monaco,G,39,764,107,220,486,22,85,259,85,135,630,536,21,32,656,44,85,129,11,19,10,12,80,257
Jasiel Rivero,Maccabi Playtika Tel Aviv,C,40,625,118,209,565,4,7,571,114,202,564,574,64,99,646,63,62,125,37,24,12,36,78,304
Javonte Smart,Crvena zvezda Meridianbet,F,12,210,31,85,365,8,46,174,23,39,590,412,16,16,1.000,5,19,24,16,4,2,15,15,86
Jerian Grant,Panathinaikos,G,41,1131,118,256,461,47,113,416,71,143,497,553,68,79,861,20,74,94,141,61,5,44,95,351
Joe Thomasson,Maccabi Playtika Tel Aviv,G,4,27,1,10,100,0,6,0,1,4,250,100,2,2,1.000,0,6,6,5,3,2,3,3,4
Joel Bolomboy,Crvena zvezda Meridianbet,C,33,841,130,211,616,9,27,333,121,184,658,637,69,85,812,77,121,198,26,26,24,37,77,338
Joel Parra,Barcelona,F,26,340,28,77,364,12,44,273,16,33,485,442,9,13,692,22,35,57,10,6,3,13,34,77
Joffrey Lauvergne,LDLC ASVEL,C,31,765,159,309,515,19,53,358,140,256,547,545,53,73,726,52,108,160,55,13,7,59,61,390
Johannes Thiemann,ALBA Berlin,C,29,725,124,256,484,22,64,344,102,192,531,527,99,126,786,43,110,153,55,24,2,49,35,369
Johannes Voigtmann,EA7 Emporio Armani Milano,C,34,687,94,195,482,24,83,289,70,112,625,544,25,37,676,35,115,150,70,14,13,47,45,237
John Brown,AS Monaco,F,36,911,90,191,471,0,4,0,90,187,481,471,35,49,714,69,65,134,51,41,3,27,80,215
John DiBartolomeo,Maccabi Playtika Tel Aviv,G,29,429,43,109,394,33,84,393,10,25,400,546,20,20,1.000,20,37,57,31,21,0,15,47,139
John Egbunu,LDLC ASVEL,F,19,223,24,42,571,0,0,,24,42,571,571,7,18,389,26,22,48,9,2,3,10,26,55
Johnathan Motley,Fenerbahçe Beko,C,36,675,153,236,648,1,4,250,152,232,655,650,95,134,709,70,81,151,40,7,8,72,114,402
Jonas Mattisseck,ALBA Berlin,G,26,316,28,68,412,23,53,434,5,15,333,581,7,7,1.000,2,14,16,14,9,0,8,46,86
Jordan Loyd,AS Monaco,G,20,450,67,171,392,29,83,349,38,88,432,477,46,51,902,9,45,54,40,16,1,21,65,209
Jordan Mickey,Virtus Segafredo Bologna,C,26,473,84,174,483,17,41,415,67,133,504,532,27,40,675,40,63,103,15,11,17,35,50,212
Jordan Theodore,Baskonia,G,12,118,15,27,556,2,6,333,13,21,619,593,10,12,833,3,5,8,13,2,0,11,15,42
Josep Puerto,Valencia Basket,F,25,332,29,79,367,11,41,268,18,38,474,437,10,11,909,19,40,59,9,5,0,25,29,79
Josh Nebo,Maccabi Playtika Tel Aviv,C,39,926,170,255,667,0,1,0,170,254,669,667,95,133,714,120,156,276,24,23,35,35,70,435
Juancho Hernangómez,Panathinaikos,F,31,509,42,118,356,19,72,264,23,46,500,436,31,41,756,32,78,110,15,18,10,26,38,134
Justin Anderson,Valencia Basket,G,18,336,43,94,457,15,45,333,28,49,571,537,9,13,692,6,33,39,11,8,4,15,37,110
Justin Bean,ALBA Berlin,G,27,417,41,95,432,13,36,361,28,59,475,500,10,14,714,25,56,81,19,20,11,13,32,105
Justus Hollatz,Anadolu Efes,G,24,250,22,53,415,5,22,227,17,31,548,462,5,6,833,9,20,29,30,10,1,6,28,54
Karolis Lukosiunas,Žalgiris,F,1,12,2,6,333,2,6,333,0,0,,500,0,0,,0,0,0,0,0,0,0,4,6
Kasparas Jakucionis,Barcelona,G,1,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,1,1,2
Kassius Robertson,Valencia Basket,G,30,471,39,127,307,24,86,279,15,41,366,402,22,34,647,9,31,40,22,8,1,21,46,124
